[2026-05-08T18:34:55.739Z] 🎤 Vaja Thai TTS Listener Started
[2026-05-08T18:34:55.741Z] 🎯 Listening for messages from: pran, soma, sayanprasathan, mue
[2026-05-08T18:34:55.741Z] 🚀 Starting inbox watcher...
[2026-05-08T18:34:55.741Z] 📊 Starting status reporter...
[2026-05-08T19:08:26.319Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:08:56.328Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:09:26.335Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:09:56.337Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:10:26.339Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:10:56.351Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:11:26.360Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:11:56.367Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:12:26.381Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:12:56.389Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:13:26.402Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:13:56.411Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:14:26.423Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:14:56.429Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:15:26.439Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:15:56.454Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:16:26.467Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:16:56.471Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:17:26.478Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:17:56.490Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:18:26.496Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:18:56.501Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:19:26.501Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:19:56.502Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:20:26.516Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:20:56.522Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:21:26.528Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:21:56.529Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:22:26.536Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:22:56.549Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:23:26.557Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:23:56.557Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:24:26.566Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:24:56.578Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:25:26.585Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:25:56.596Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:26:26.609Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:26:56.615Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:27:26.621Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:27:56.635Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:28:26.649Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:28:56.660Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:29:26.662Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:29:56.674Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:30:26.677Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:30:56.682Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:31:26.694Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:31:56.703Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:32:26.703Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:32:56.704Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:33:26.709Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:33:56.719Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:34:26.728Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:34:56.729Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:35:26.743Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:35:56.748Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:36:26.754Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:36:56.765Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:37:26.773Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:37:56.784Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:38:26.792Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:38:56.793Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:39:26.792Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:39:56.804Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:40:26.813Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:40:56.823Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:41:26.830Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:41:56.837Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:42:26.844Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:42:56.883Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:43:26.887Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:43:56.899Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:44:26.909Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:44:56.919Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:45:26.928Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:45:56.936Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:46:26.946Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:46:56.961Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:47:26.970Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:47:56.980Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:48:26.994Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:48:57.006Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:49:27.019Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:49:57.021Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:50:27.027Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:50:57.031Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:51:27.046Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:51:57.047Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:52:27.055Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:52:57.063Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:53:27.066Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:53:57.080Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:54:27.086Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:54:57.093Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:55:27.097Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:55:57.101Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:56:27.114Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:56:57.122Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:57:27.127Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
